path,bytes
results\figures\advanced_atlas\fig_adv_01_llm_memory_dashboard.png,466032
results\figures\advanced_atlas\fig_adv_01_llm_memory_dashboard.svg,272670
results\figures\advanced_atlas\fig_adv_02_llm_compaction_frontier.png,304458
results\figures\advanced_atlas\fig_adv_02_llm_compaction_frontier.svg,92863
results\figures\advanced_atlas\fig_adv_03_long_context_heatmap.png,177279
results\figures\advanced_atlas\fig_adv_03_long_context_heatmap.svg,94016
results\figures\advanced_atlas\fig_adv_04_schedule_effects.png,69001
results\figures\advanced_atlas\fig_adv_04_schedule_effects.svg,40531
results\figures\advanced_atlas\fig_adv_05_training_dynamics_envelopes.png,431438
results\figures\advanced_atlas\fig_adv_05_training_dynamics_envelopes.svg,93987
results\figures\advanced_atlas\fig_adv_06_writer_phase_plane.png,111860
results\figures\advanced_atlas\fig_adv_06_writer_phase_plane.svg,59990
results\figures\advanced_atlas\fig_adv_07_cost_accuracy_dual_axis.png,179233
results\figures\advanced_atlas\fig_adv_07_cost_accuracy_dual_axis.svg,57927
results\figures\advanced_atlas\fig_adv_08_3d_context_schedule_surface.png,388096
results\figures\advanced_atlas\fig_adv_08_3d_context_schedule_surface.svg,63157
results\figures\advanced_atlas\fig_adv_09_all_research_dashboard.png,291857
results\figures\advanced_atlas\fig_adv_09_all_research_dashboard.svg,123498
results\figures\advanced_atlas\interactive\llm_memory_prompt_latency_frontier.html,41614
results\figures\advanced_atlas\interactive\long_context_parallel_coordinates_advanced.html,12217
